"_id","_index","_score","_type","available_size","brand_name",color,description,mrp,"pdp_url",price,"product_category","product_name",rating,retailer,"review_count","style_attributes","total_sizes"
"PJ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein",BLACK,"the essentials hipster features a thin elasticized logo waistband and tonal lace trim.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/essentials-hipster-51503448","$13.00 ",Panties,"essentials hipster",NULL,"Calvin Klein US",NULL,"[""lightweight, silky hipster panty"",""thin elastic logo waistband"",""tonal lace trim"",""cotton gusset"",""machine wash"",""82% nylon 18% elastane"",""imported""]","s,m,l"
"PZ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m","Calvin Klein",WHITE,"the essentials hipster features a thin elasticized logo waistband and tonal lace trim.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/essentials-hipster-51503448","$13.00 ",Panties,"essentials hipster",NULL,"Calvin Klein US",NULL,"[""lightweight, silky hipster panty"",""thin elastic logo waistband"",""tonal lace trim"",""cotton gusset"",""machine wash"",""82% nylon 18% elastane"",""imported""]","s,m,l"
"Pp-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","GREY SMOKE","the essentials hipster features a thin elasticized logo waistband and tonal lace trim.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/essentials-hipster-51503448","$13.00 ",Panties,"essentials hipster",NULL,"Calvin Klein US",NULL,"[""lightweight, silky hipster panty"",""thin elastic logo waistband"",""tonal lace trim"",""cotton gusset"",""machine wash"",""82% nylon 18% elastane"",""imported""]","s,m,l"
"P5-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","m,l","Calvin Klein",TAN,"the essentials hipster features a thin elasticized logo waistband and tonal lace trim.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-panties/essentials-hipster-51503448","$13.00 ",Panties,"essentials hipster",NULL,"Calvin Klein US",NULL,"[""lightweight, silky hipster panty"",""thin elastic logo waistband"",""tonal lace trim"",""cotton gusset"",""machine wash"",""82% nylon 18% elastane"",""imported""]","s,m,l"
"QJ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","32C,32D,32DD,34B,34C,34D,34DD,36C,36D,38C,38D,38DD","Calvin Klein",SULTRY,"part of wardrobe essentials, the modern t-shirt bra features smooth 2-way stretch contouring cups and a sheer elasticized band.","$42.00 ","http://www.calvinklein.us/en/womens-clothing/womens-bras/icon-modern-t-shirt-bra-52303646-660","$39.50 ",Bras,"icon modern t-shirt bra",NULL,"Calvin Klein US",NULL,"[""embedded underwire for comfort"",""smooth 2-way stretch contouring cups"",""soft inner lining"",""sweetheart neckline"",""ideal for women seeking smooth coverage, a sexier neckline + comfortable fit"",""sheer elasticized band"",""adjustable straps"",""adjustable cushion closure"",""machine wash"",""77% nylon 23% elastane"",""imported""]","32A,32B,32C,32D,32DD,34A,34B,34C,34D,34DD,36A,36B,36C,36D,36DD,38B,38C,38D,38DD"
"QZ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein",BLACK,"the cotton bikini features a flat logo waistband and contrasting lace trim.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-three-for-panties/logo--lace-trim-bikini-51421532-001","$13.00 ","3 FOR 33 PANTY ESSENTIALS","logo + lace-trim bikini",NULL,"Calvin Klein US",NULL,"[""smooth stretch bikini panty"",""flat logo waistband"",""contrast crocheted lace at leg openings"",""sleek stretchy fit"",""full cotton gusset"",""machine wash"",""95% cotton 5% elastane"",""imported""]","s,m,l"
"Qp-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein",WHITE,"the cotton bikini features a flat logo waistband and contrasting lace trim.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-three-for-panties/logo--lace-trim-bikini-51421532-001","$13.00 ","3 FOR 33 PANTY ESSENTIALS","logo + lace-trim bikini",NULL,"Calvin Klein US",NULL,"[""smooth stretch bikini panty"",""flat logo waistband"",""contrast crocheted lace at leg openings"",""sleek stretchy fit"",""full cotton gusset"",""machine wash"",""95% cotton 5% elastane"",""imported""]","s,m,l"
"Q5-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m,l","Calvin Klein","REFLECTIVE CK LOGO","the cotton bikini features a flat logo waistband and contrasting lace trim.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-three-for-panties/logo--lace-trim-bikini-51421532-001","$6.99 ","3 FOR 33 PANTY ESSENTIALS","logo + lace-trim bikini",NULL,"Calvin Klein US",NULL,"[""smooth stretch bikini panty"",""flat logo waistband"",""contrast crocheted lace at leg openings"",""sleek stretchy fit"",""full cotton gusset"",""machine wash"",""95% cotton 5% elastane"",""imported""]","s,m,l"
"RJ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","s,m","Calvin Klein",STRIKING,"the cotton bikini features a flat logo waistband and contrasting lace trim.","$13.00 ","http://www.calvinklein.us/en/womens-clothing/women-three-for-panties/logo--lace-trim-bikini-51421532-001","$6.99 ","3 FOR 33 PANTY ESSENTIALS","logo + lace-trim bikini",NULL,"Calvin Klein US",NULL,"[""smooth stretch bikini panty"",""flat logo waistband"",""contrast crocheted lace at leg openings"",""sleek stretchy fit"",""full cotton gusset"",""machine wash"",""95% cotton 5% elastane"",""imported""]","s,m,l"
"RZ-hW24BKXIiaMnxojM2","elastic_data_viz",0,"_doc","32B,32C,32D,34C,34D,36B,36C,36D,38B,38C","Calvin Klein",BLACK,"a seductive comfort add-a-size plunge bra designed with scalloped lace trim, extra padded push-up cups and a smooth stitch-free construction.","$48.00 ","http://www.calvinklein.us/en/womens-clothing/womens-bras/seductive-comfort-lace-add-a-size-plunge-bra-52011446-660","$48.00 ",Bras,"seductive comfort lace add-a-size plunge bra",NULL,"Calvin Klein US",NULL,"[""add-a-size plunge underwire bra"",""adds one cup size with volume and shape"",""scalloped lace trim"",""smooth stitch-free construction"",""extra padded push-up cups"",""tonal picot trim"",""adjustable cushioned straps"",""hook + eye cushion closure"",""hand wash"",""76% nylon 24% elastane"",""imported""]","32A,32B,32C,32D,34A,34B,34C,34D,36A,36B,36C,36D,38B,38C"
